Title,Latitude,Longitude
23.351.01,-5.35906468,105.2341518
23.351.27,-5.40975267,105.294444
24.351.31,-5.394010706,105.2324481
24.351.33,-5.396421919,105.2891414
24.351.34,-5.406959381,105.2744924
24.351.35,-5.421059911,105.2524061
24.351.36,-5.382744039,105.2588174
24.351.37,-5.421653629,105.2470271
24.352.38,-5.422993838,105.271468
24.352.39,-5.44933552,105.3040879
24.352.39,-5.493152127,105.3262512
24.352.42,-5.43634919,105.2645878
24.352.44,-5.435539882,105.2845436
24.352.46,-5.464774371,105.2444157
24.353.53,-5.444372937,105.2662302
24.351.74,-5.36792648,105.2332611
24.351.77,-5.377935598,105.2516199
24.351.93,-5.367520566,105.2338196
24.351.102,-5.41416371,105.2468236
24.351.112,-5.358985136,105.2852059
24.351.113,-5.391383729,105.2786422
24.351.125,-5.381530865,105.2697616
24.351.126,-5.406984417,105.2745017
24.352.127,-5.432093682,105.2535063
24.351.137,-5.412770805,105.2262491
24.351.140,-5.385665859,105.2514112
24.351.87,-5.397970567561756,105.20423298352915
24.351.30,-5.3661798718713145,105.26585601103177
